Car_Model,Location,EMI,Price,Transmission,Fuel_Type
2022 Mahindra XUV300 W6 1.5 DIESEL,"Parked at: Mulund West, Mumbai","₹19,891/month",₹10.45 Lakh,Manual,Diesel
2019 Mahindra XUV300 W8 (O) 1.2 PETROL,"Parked at: Mulund West, Mumbai","₹15,073/month",₹7.71 Lakh,Manual,Petrol
2022 Mahindra XUV300 W6 1.2 PETROL AMT,"Parked at: Goregaon, Mumbai","₹18,311/month",₹9.62 Lakh,Automatic,Petrol
2019 Mahindra XUV300 W8 1.5 DIESEL,Parked at: Seawood,"₹15,760/month",₹8.28 Lakh,Manual,Diesel
2017 Mahindra XUV500 W10 AT,"Parked at: Mulund West, Mumbai","₹21,661/month",₹11.38 Lakh,Automatic,Diesel
2021 Mahindra XUV300 W6 1.5 DIESEL AMT,"Parked at: Goregaon, Mumbai","₹17,664/month",₹9.28 Lakh,Automatic,Diesel
2017 Mahindra XUV500 W10 AT,"Parked at: Mulund West, Mumbai","₹19,872/month",₹10.44 Lakh,Automatic,Diesel
2019 Mahindra XUV300 W8 1.5 DIESEL,"Parked at: Mulund West, Mumbai","₹16,826/month",₹8.84 Lakh,Manual,Diesel
2019 Mahindra XUV300 W6 1.2 PETROL,Parked at: Seawood,"₹15,425/month",₹7.89 Lakh,Manual,Petrol
2022 Mahindra XUV300 W8 (O) 1.2 PETROL AMT,"Parked at: Goregaon, Mumbai","₹21,451/month",₹11.27 Lakh,Automatic,Petrol
2021 Mahindra XUV300 W8 (O) 1.2 PETROL AMT,"Parked at: Mulund West, Mumbai","₹20,728/month",₹10.89 Lakh,Automatic,Petrol
2021 Mahindra XUV300 W6 1.2 PETROL AMT,"Parked at: Mulund West, Mumbai","₹16,693/month",₹8.77 Lakh,Automatic,Petrol
2022 Mahindra XUV300 W6 1.5 DIESEL AMT,"Parked at: Mulund West, Mumbai","₹21,242/month",₹11.16 Lakh,Automatic,Diesel
